time_duration	prompt_throughput	generation_throughput
0.5	96	412
1.0	134	984
1.5	192	1032
2.0	314	1016
2.5	338	1076
3.0	240	1292
3.5	70	1300
4.0	394	1072
4.5	494	1000
5.0	32	1376
5.5	148	1272
6.0	710	828
6.5	196	1240
7.0	200	1220
7.5	152	1284
8.0	276	1168
8.5	210	1276
9.0	82	1340
9.5	204	1292
10.0	0	1472
10.5	0	1388
11.0	0	1372
11.5	0	1112
