time_duration	prompt_throughput	generation_throughput
0.5	64	24
1.0	130	136
1.5	228	200
2.0	270	308
2.5	262	436
3.0	274	464
3.5	136	744
4.0	232	396
4.5	512	452
5.0	196	680
5.5	130	884
6.0	278	544
6.5	646	824
7.0	14	1064
7.5	280	1100
8.0	304	884
8.5	64	952
9.0	236	1208
9.5	226	1012
10.0	0	1280
10.5	0	1444
11.0	0	1180
11.5	0	1112
12.0	0	1228
12.5	0	1176
13.0	0	904
13.5	0	992
14.0	0	896
14.5	0	892
15.0	0	668
15.5	0	688
16.0	0	548
16.5	0	512
17.0	0	456
17.5	0	308
18.0	0	184
18.5	0	44
