time_duration	prompt_throughput	generation_throughput
0.5	64	52
1.0	166	224
1.5	192	276
2.0	270	408
2.5	262	628
3.0	360	580
3.5	70	948
4.0	212	388
4.5	294	436
5.0	414	824
5.5	148	1028
6.0	356	680
6.5	550	752
7.0	112	1152
7.5	182	1120
8.0	314	1000
8.5	54	1100
9.0	236	1124
9.5	226	1156
10.0	0	1404
10.5	0	1516
11.0	0	1212
11.5	0	1348
12.0	0	1224
12.5	0	1084
13.0	0	1060
13.5	0	908
14.0	0	920
14.5	0	796
15.0	0	656
15.5	0	488
16.0	0	296
16.5	0	36
